,Sample Name,Source Plate Name,Source Well,Destination Well,Transfer Volume,Destination Plate Name,Source Plate Type
332,D1,af_src001,D1,N21,2000,dest_plate,384PP_AQ_BP
333,D2,af_src001,D3,N22,2000,dest_plate,384PP_AQ_BP
334,D2,af_src001,D3,N23,2000,dest_plate,384PP_AQ_BP
335,D2,af_src001,D3,N24,2000,dest_plate,384PP_AQ_BP
336,D2,af_src001,D3,O1,2000,dest_plate,384PP_AQ_BP
337,D2,af_src001,D3,O2,2000,dest_plate,384PP_AQ_BP
338,D2,af_src001,D3,O3,2000,dest_plate,384PP_AQ_BP
339,D2,af_src001,D3,O4,2000,dest_plate,384PP_AQ_BP
340,D2,af_src001,D3,O5,2000,dest_plate,384PP_AQ_BP
341,D2,af_src001,D3,O6,2000,dest_plate,384PP_AQ_BP
342,D3,af_src001,D5,O7,2000,dest_plate,384PP_AQ_BP
343,D3,af_src001,D5,O8,2000,dest_plate,384PP_AQ_BP
344,D3,af_src001,D5,O9,2000,dest_plate,384PP_AQ_BP
345,D3,af_src001,D5,O10,2000,dest_plate,384PP_AQ_BP
346,D3,af_src001,D5,O11,2000,dest_plate,384PP_AQ_BP
347,D3,af_src001,D5,O12,2000,dest_plate,384PP_AQ_BP
348,D3,af_src001,D5,O13,2000,dest_plate,384PP_AQ_BP
349,D3,af_src001,D5,O14,2000,dest_plate,384PP_AQ_BP
350,D3,af_src001,D5,O15,2000,dest_plate,384PP_AQ_BP
351,D4,af_src001,D7,O16,2000,dest_plate,384PP_AQ_BP
352,D4,af_src001,D7,O17,2000,dest_plate,384PP_AQ_BP
353,D4,af_src001,D7,O18,2000,dest_plate,384PP_AQ_BP
354,D4,af_src001,D7,O19,2000,dest_plate,384PP_AQ_BP
355,D4,af_src001,D7,O20,2000,dest_plate,384PP_AQ_BP
356,D4,af_src001,D7,O21,2000,dest_plate,384PP_AQ_BP
357,D4,af_src001,D7,O22,2000,dest_plate,384PP_AQ_BP
358,D4,af_src001,D7,O23,2000,dest_plate,384PP_AQ_BP
359,D4,af_src001,D7,O24,2000,dest_plate,384PP_AQ_BP
360,D5,af_src001,D9,P1,2000,dest_plate,384PP_AQ_BP
361,D5,af_src001,D9,P2,2000,dest_plate,384PP_AQ_BP
362,D5,af_src001,D9,P3,2000,dest_plate,384PP_AQ_BP
363,D5,af_src001,D9,P4,2000,dest_plate,384PP_AQ_BP
364,D5,af_src001,D9,P5,2000,dest_plate,384PP_AQ_BP
365,D5,af_src001,D9,P6,2000,dest_plate,384PP_AQ_BP
366,D5,af_src001,D9,P7,2000,dest_plate,384PP_AQ_BP
367,D5,af_src001,D9,P8,2000,dest_plate,384PP_AQ_BP
368,D5,af_src001,D9,P9,2000,dest_plate,384PP_AQ_BP
369,D6,af_src001,D11,P10,2000,dest_plate,384PP_AQ_BP
370,D6,af_src001,D11,P11,2000,dest_plate,384PP_AQ_BP
371,D6,af_src001,D11,P12,2000,dest_plate,384PP_AQ_BP
372,D6,af_src001,D11,P13,2000,dest_plate,384PP_AQ_BP
373,D6,af_src001,D11,P14,2000,dest_plate,384PP_AQ_BP
374,D6,af_src001,D11,P15,2000,dest_plate,384PP_AQ_BP
375,D6,af_src001,D11,P16,2000,dest_plate,384PP_AQ_BP
376,D6,af_src001,D11,P17,2000,dest_plate,384PP_AQ_BP
377,D6,af_src001,D11,P18,2000,dest_plate,384PP_AQ_BP
378,PBS,af_src001,I8,A2,1200,dest_plate,384PP_AQ_BP
379,PBS,af_src001,I8,A3,1550,dest_plate,384PP_AQ_BP
380,PBS,af_src001,I8,A4,1750,dest_plate,384PP_AQ_BP
381,PBS,af_src001,I8,A5,1850,dest_plate,384PP_AQ_BP
382,PBS,af_src001,I8,A6,1950,dest_plate,384PP_AQ_BP
383,PBS,af_src001,I8,A8,1325,dest_plate,384PP_AQ_BP
384,PBS,af_src001,I8,A9,2000,dest_plate,384PP_AQ_BP
385,PBS,af_src001,I8,A11,1200,dest_plate,384PP_AQ_BP
386,PBS,af_src001,I8,A12,1550,dest_plate,384PP_AQ_BP
387,PBS,af_src001,I8,A13,1750,dest_plate,384PP_AQ_BP
388,PBS,af_src001,I8,A14,1850,dest_plate,384PP_AQ_BP
389,PBS,af_src001,I8,A15,1950,dest_plate,384PP_AQ_BP
390,PBS,af_src001,I8,A17,1325,dest_plate,384PP_AQ_BP
391,PBS,af_src001,I8,A18,2000,dest_plate,384PP_AQ_BP
392,PBS,af_src001,I8,A20,1200,dest_plate,384PP_AQ_BP
393,PBS,af_src001,I8,A21,1550,dest_plate,384PP_AQ_BP
394,PBS,af_src001,I8,A22,1750,dest_plate,384PP_AQ_BP
395,PBS,af_src001,I8,A23,1850,dest_plate,384PP_AQ_BP
396,PBS,af_src001,I8,A24,1950,dest_plate,384PP_AQ_BP
397,PBS,af_src001,I8,B2,1325,dest_plate,384PP_AQ_BP
398,PBS,af_src001,I8,B3,2000,dest_plate,384PP_AQ_BP
399,PBS,af_src001,I8,B5,1200,dest_plate,384PP_AQ_BP
400,PBS,af_src001,I8,B6,1550,dest_plate,384PP_AQ_BP
401,PBS,af_src001,I8,B7,1750,dest_plate,384PP_AQ_BP
402,PBS,af_src001,I9,B8,1850,dest_plate,384PP_AQ_BP
403,PBS,af_src001,I9,B9,1950,dest_plate,384PP_AQ_BP
404,PBS,af_src001,I9,B11,1325,dest_plate,384PP_AQ_BP
405,PBS,af_src001,I9,B12,2000,dest_plate,384PP_AQ_BP
406,PBS,af_src001,I9,B14,1200,dest_plate,384PP_AQ_BP
407,PBS,af_src001,I9,B15,1550,dest_plate,384PP_AQ_BP
408,PBS,af_src001,I9,B16,1750,dest_plate,384PP_AQ_BP
409,PBS,af_src001,I9,B17,1850,dest_plate,384PP_AQ_BP
410,PBS,af_src001,I9,B18,1950,dest_plate,384PP_AQ_BP
411,PBS,af_src001,I9,B20,1325,dest_plate,384PP_AQ_BP
412,PBS,af_src001,I9,B21,2000,dest_plate,384PP_AQ_BP
413,PBS,af_src001,I9,B23,1200,dest_plate,384PP_AQ_BP
414,PBS,af_src001,I9,B24,1550,dest_plate,384PP_AQ_BP
415,PBS,af_src001,I9,C1,1750,dest_plate,384PP_AQ_BP
416,PBS,af_src001,I9,C2,1850,dest_plate,384PP_AQ_BP
417,PBS,af_src001,I9,C3,1950,dest_plate,384PP_AQ_BP
418,PBS,af_src001,I9,C5,1325,dest_plate,384PP_AQ_BP
